Name,Description,IsProperty,IsActive,RowGUID,OwnerID,ItemID
"Fixed rate","Fixed rate instrument according to Article 1(1), point (4) of the EBA/RTS/2022/09 (the ‘EBA RTS on SA’) .",0,-1,"{115C0F86-6B8D-4671-A62D63455FE110E6}",1012,10911
"Floating rate","Floating rate instrument according to Article 1(1), point (5) of the EBA RTS on SA.",0,-1,"{1E8945E0-FBAA-4878-BB43025478320FA7}",1012,10912
"> 1 day <= 1 month","Notional repricing cash flow with repricing period greater than overnight up to 1 month.",0,-1,"{C5361395-E1DE-4DAB-8180C66D804AEC5D}",1012,10913
"> 9 years <= 10 years","Notional repricing cash flow with repricing period greater than 9 years up to 10 years.",0,-1,"{915563D0-D2FE-4C08-A52B894FC89D136D}",1012,10914
"> 10 years <= 15 years","Notional repricing cash flow with repricing period greater than 10 years up to 15 years.",0,-1,"{74E7998E-FECA-430F-A69B627F4C411BE9}",1012,10915
"> 15 years <= 20 years","Notional repricing cash flow with repricing period greater than 15 years up to 20 years.",0,-1,"{2241E6C9-C392-4DBB-84DD0473EF30ECBE}",1012,10916
"> 18 months <= 2 years","Notional repricing cash flow with repricing period greater than 18 months up to 2 years.",0,-1,"{91B3799A-EA4A-4AE4-ADEDB631436A0179}",1012,10917
"> 20 years","Notional repricing cash flow with repricing period greater than 20 years.",0,-1,"{CDAC73FC-F07E-43C7-900B7AD39FA0B3AC}",1012,10918
"Assets subject to interest rate risks",,0,-1,"{FC363DE4-3A0B-4FFA-AE7B2C8D455E7985}",1012,10919
"Liabilities subject to interest rate risks",,0,-1,"{D04C5FC6-B8E1-4E54-8D3B7F4CCE3981F3}",1012,10920
"Assets, liabilities and off balance sheet items",,0,-1,"{4A01C3CC-4DFD-45E8-95FEBE9F9DA09C57}",1012,10921
"Core",,0,-1,"{CF8C99C8-6329-41B4-AB85D7D203C8FFB6}",1012,10922
"Exempted from the 5Y gap",,0,-1,"{F99D943E-AA4A-4C41-8D86549738D1B1A4}",1012,10923
"Non-transactional accounts",,0,-1,"{2904B8E9-D65F-4C6B-9B24C3607606AA02}",1012,10924
"Average repricing dates weighted by the notional repricing cash flows",,-1,-1,"{5B69D69D-A1E8-441A-9FC077B11CCE0A7B}",1012,10925
"Weighted average percentage of the interest rate shock",,-1,-1,"{F6EE5135-4E5E-465A-9E7189B9D8986998}",1012,10926
"1 year horizon",,0,-1,"{A1CD9BF2-43BA-464E-8FAFCBF1F6CCFEDF}",1012,10927
"Subject to prepayment risk",,0,-1,"{A7E47C5C-2B23-4366-8416B736888E6B0F}",1012,10928
"Annualised average conditional prepayment rate",,-1,-1,"{06CC178C-7D62-4B0B-93E2083B7E4BE06A}",1012,10929
"Cumulative average conditional early redemption rate",,-1,-1,"{B313B4FC-F0C9-4510-842B81FC51847116}",1012,10930
