SuperCategoryID,CategoryID,StartReleaseID,EndReleaseID,RowGUID
1104,1041,5,,"{338090F4-8DFF-C54F-B14EB2EA56992059}"
1104,1059,5,,"{635C4C8D-3888-6B4D-AB84424AC1180723}"
1105,1040,5,,"{D44BA639-08ED-874B-B60EEC98EDEF7356}"
1105,1047,5,,"{13E7E924-F021-114F-93970B4F1BB15F66}"
1106,1035,5,,"{209A1F0D-E9E4-2E42-8575F1919C52D0D6}"
1106,1036,5,,"{8341B015-3F0A-5B4A-83CA6B6D274A01E3}"
1106,1047,5,,"{B811DA5A-B80A-784A-8EB9771ED8DA70AC}"
1107,1018,5,,"{1F46C658-EBD0-0A44-AD4FB4EF3C667444}"
1107,1025,5,,"{2335F500-C04F-AC40-A6C87D0E9AA689B3}"
1107,1037,5,,"{897A9F71-391F-FE44-805CB94D75905D30}"
1108,1007,5,,"{26EB69C1-2800-C64D-A2F1A88A91C394B6}"
1108,1018,5,,"{DD521F75-1218-8E4A-AD3DF43BDCB3277D}"
1108,1030,5,,"{CC6338DF-A3C2-5F48-B60AD855B03BD0AB}"
1108,1041,5,,"{5B440D57-BF42-3E43-978C46A2F7512F19}"
1109,1011,5,,"{88D61E5F-BB52-854F-8C7E272B852DD39C}"
1109,1064,5,,"{B3106E4E-B8AD-4A44-83E29B2E7AFBB6C1}"
1111,1007,5,,"{527075DF-3B87-2441-AB772EF9AC6DEDF7}"
1111,1018,5,,"{A44634BB-8A75-FD4A-9B6528734BDB08C6}"
1111,1036,5,,"{4158C452-7811-EB47-AC22CD1C811D25D9}"
1111,1037,5,,"{A4A05A56-32FF-A04E-86B7AFA61790F371}"
1113,1037,5,,"{1213CC15-F087-EC4B-B98EA427C2E2145F}"
1113,1047,5,,"{C0CF9899-45C0-9A4C-BD342D972CF8DA7C}"
