StartDate,EndDate,Status,ReleaseID,Error,VariableGenerationID
"07/28/25 12:38:26","07/28/25 12:40:09","failed",5,"Variables generation process failed: There are blocking model violations.",1307
"07/28/25 16:17:34","07/28/25 16:19:18","failed",5,"Variables generation process failed: There are blocking model violations.",1308
"07/29/25 08:55:55","07/29/25 08:57:38","failed",5,"Variables generation process failed: There are blocking model violations.",1309
"07/29/25 10:47:26","07/29/25 10:49:28","failed",5,"Variables generation process failed: There are blocking model violations.",1310
"07/29/25 13:16:11","07/29/25 13:18:14","failed",5,"Variables generation process failed: There are blocking model violations.",1311
"07/29/25 14:01:33","07/29/25 14:06:07","success",5,,1312
"07/29/25 15:23:49","07/29/25 15:28:44","success",5,,1313
"07/29/25 15:56:27","07/29/25 15:56:38","failed",5,"Variables generation process can not be launched: There are blocking model violations.",1314
"07/29/25 16:06:05","07/29/25 16:10:58","success",5,,1315
"08/01/25 15:01:15","08/01/25 15:04:30","failed",5,"Variables generation process failed: There are blocking model violations.",1316
"08/01/25 19:01:59","08/01/25 19:03:41","failed",5,"Variables generation process failed: There are blocking model violations.",1317
"08/01/25 19:10:51","08/01/25 19:14:27","success",5,,1318
"08/01/25 19:24:48","08/01/25 19:29:51","success",5,,1319
"08/07/25 16:07:22","08/07/25 16:10:33","failed",5,"Variables generation process failed: There are blocking model violations.",1320
"08/07/25 16:36:51","08/07/25 16:40:27","success",5,,1321
"08/08/25 07:31:09","08/08/25 07:36:15","success",5,,1322
"09/26/25 19:09:46","09/26/25 19:16:09","failed",5,"Variables generation process failed: There are blocking model violations.",1323
"09/29/25 15:07:43","09/29/25 15:10:20","failed",5,"Variables generation process failed: There are blocking model violations.",1324
"09/29/25 17:59:20","09/29/25 18:01:46","failed",5,"Variables generation process failed: There are blocking model violations.",1325
"09/29/25 18:12:06","09/29/25 18:14:31","failed",5,"Variables generation process failed: There are blocking model violations.",1326
"09/29/25 18:49:56","09/29/25 18:52:22","failed",5,"Variables generation process failed: There are blocking model violations.",1327
"09/29/25 19:07:23","09/29/25 19:12:08","success",5,,1328
"09/29/25 19:12:56","09/29/25 19:19:12","success",5,"could not execute batch; SQL [delete from OperationVersion where OperationVID=?]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute batch",1329
"09/30/25 08:12:17","09/30/25 08:18:11","success",5,"could not execute batch; SQL [delete from OperationVersion where OperationVID=?]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute batch",1330
"10/02/25 08:49:47","10/02/25 08:53:43","failed",5,"Variables generation process failed: There are blocking model violations.",1331
"10/02/25 13:20:08","10/02/25 13:24:31","success",5,,1332
"10/02/25 18:06:32","10/02/25 18:12:14","success",5,,1333
"10/08/25 15:14:27","10/08/25 15:18:14","failed",5,"Variables generation process failed: There are blocking model violations.",1334
"10/08/25 15:32:38","10/08/25 15:37:04","success",5,,1335
"10/08/25 15:44:36","10/08/25 15:50:28","success",5,,1336
"10/13/25 18:24:40","10/13/25 18:28:30","failed",5,"Variables generation process failed: There are blocking model violations.",1337
"10/13/25 18:51:32","10/13/25 18:53:55","failed",5,"Variables generation process failed: There are blocking model violations.",1338
"10/13/25 19:02:06","10/13/25 19:04:30","failed",5,"Variables generation process failed: There are blocking model violations.",1339
"10/14/25 08:33:48","10/14/25 08:36:05","failed",5,"Variables generation process failed: There are blocking model violations.",1340
"10/14/25 18:02:07","10/14/25 18:04:31","failed",5,"Variables generation process failed: There are blocking model violations.",1341
"10/14/25 18:19:14","10/14/25 18:21:36","failed",5,"Variables generation process failed: There are blocking model violations.",1342
"10/14/25 19:06:48","10/14/25 19:09:10","failed",5,"Variables generation process failed: There are blocking model violations.",1343
"10/14/25 19:17:04","10/14/25 19:21:42","success",5,,1344
"10/14/25 19:22:05","10/14/25 19:28:10","success",5,,1345
"10/22/25 06:24:33","10/22/25 06:30:36","success",5,,1346
"10/23/25 15:51:09","10/23/25 15:57:17","success",5,,1347
"10/23/25 18:09:52","10/23/25 18:16:05","success",5,,1348
"11/04/25 15:03:44","11/04/25 15:09:36","success",5,,1349
"11/08/25 15:28:11","11/08/25 15:33:54","success",5,,1350
"11/10/25 14:02:44","11/10/25 14:08:27","success",5,,1351
"11/10/25 17:03:07","11/10/25 17:08:55","success",5,,1352
"11/12/25 16:12:12","11/12/25 16:18:13","success",5,,1353
"11/13/25 18:22:26","11/13/25 18:26:05","failed",5,"Variables generation process failed: There are blocking model violations.",1354
"11/13/25 18:31:46","11/13/25 18:36:08","success",5,,1355
"02/09/26 08:42:08","02/09/26 08:42:48","success",1010000003,,1010000002
