TableID,Direction,IsKey,RowGUID,IsAttribute,OwnerID,HeaderID
74,"Y",0,"{33295E1A-B23C-422D-809004343F03387F}",0,1012,63
74,"Y",0,"{B8402AD1-D775-4CB8-87D7FE30FC54413F}",0,1012,64
74,"Y",0,"{C54DB416-923B-4C5F-8EA97817DA7B791B}",0,1012,65
74,"Y",0,"{82AC20BC-DB34-474F-8D6A660EDD09A5C6}",0,1012,66
74,"Y",0,"{141B65B5-AFF1-4A60-956E08620A559813}",0,1012,67
74,"Y",0,"{F495C586-A7C1-4BF0-A37E02EA0DB0F132}",0,1012,68
74,"Y",0,"{6A3F7F84-171C-4561-98C424E8EDE3C335}",0,1012,69
74,"Y",0,"{DB79A3E1-AAF1-4316-8BBCE5E26699C4E6}",0,1012,70
74,"Y",0,"{638470AB-7110-4DBD-9CC372B3625EE2BA}",0,1012,71
74,"Y",0,"{7DB689E6-C151-4585-895F1B61DC94FA86}",0,1012,72
74,"Y",0,"{15EF58C7-4953-47D2-8DF86EAA9AB67B4B}",0,1012,73
74,"Y",0,"{BB22A726-C7D0-4037-966DCE8683DECDD2}",0,1012,74
74,"Y",0,"{547E88FA-8C39-40BF-847D623AE81804A4}",0,1012,75
74,"Y",0,"{29912A9F-A1B3-48BC-ACEA73479E765D28}",0,1012,76
74,"Y",0,"{43B1F59D-BA1E-4673-906370D0DE668E64}",0,1012,77
74,"Y",0,"{E9ADF6D4-66CC-4C8D-9F3D6DFF5828A819}",0,1012,78
74,"Y",0,"{59788C1A-20B4-4084-89E99C86C1C38420}",0,1012,79
74,"Y",0,"{B1952A75-C72F-472C-A79843A006D9BCE6}",0,1012,80
74,"Y",0,"{7D91C6B1-0C12-444F-81F3EAD019BC0FC1}",0,1012,81
74,"Y",0,"{17EFCC85-E909-412C-B1FAFF5015CC4C3A}",0,1012,82
74,"Y",0,"{7A03CFB7-5C39-4B85-99C94A95D03DCEEB}",0,1012,83
74,"Y",0,"{6ECBF771-E05E-4903-9055B6A1E553AF45}",0,1012,84
74,"Y",0,"{BDEC51FD-191C-4211-AC8029FC4C134F09}",0,1012,85
74,"Y",0,"{DA57CADA-6D40-4CC8-8D4901447C403A42}",0,1012,86
74,"Y",0,"{91B37387-B496-4284-AA1D6B14D152E952}",0,1012,87
74,"Y",0,"{B09985B9-5EF5-4B40-8497E3E473E86C72}",0,1012,88
74,"Y",0,"{155FDE3A-211B-48A7-B584FC75DFA12D8B}",0,1012,89
74,"Y",0,"{D1253ACE-F15C-4F65-B311032635E90AA9}",0,1012,90
74,"Y",0,"{635F5B73-7F59-419B-B0527A0CD4F9D02A}",0,1012,91
74,"Y",0,"{CF3C726C-DE82-4DC0-96C686D951EBE3CF}",0,1012,92
74,"Y",0,"{9493DACA-4EFE-4AA4-A5CDD13A1AB0762A}",0,1012,93
74,"Y",0,"{4A85335B-31F0-4CE0-B17E6CDC4C61EBF8}",0,1012,94
74,"Y",0,"{06E1F100-ED88-4026-8CC4F7577D6DC3A9}",0,1012,95
74,"Y",0,"{E6BE29ED-EDE9-4BAD-A42C90546B6FF22B}",0,1012,96
74,"Y",0,"{284E04F0-F730-4CAC-8E1C38B722A2E1FA}",0,1012,97
74,"Y",0,"{A172E4F0-50EB-4573-A6C637961FD5D1CC}",0,1012,98
74,"Y",0,"{E767D59B-47D2-4BED-B1DA6A65E3D6E579}",0,1012,99
74,"Y",0,"{2FC14792-73CC-4921-B560B2D7E187400D}",0,1012,100
74,"Y",0,"{2080C13C-AE08-45FE-834EE02A0D61D2EB}",0,1012,101
74,"Y",0,"{C8F691D4-0006-4606-8BFF605EE7863310}",0,1012,102
74,"Y",0,"{234C0F5E-13AD-43EE-9115933B3F554625}",0,1012,103
74,"Y",0,"{45381E8A-52D5-4AFE-BADDA7C7B0ADF5FD}",0,1012,104
74,"Y",0,"{D8F0DE4A-E64F-41B3-ACC3660BE49C85DF}",0,1012,105
74,"Y",0,"{DC8AB5D9-87CB-43F5-982CFD571FA2B3B0}",0,1012,106
74,"Y",0,"{22166517-6EF1-4B56-865762BC6E83EFDB}",0,1012,107
74,"Y",0,"{19A50B99-0D9B-421D-A085B5C5F9522724}",0,1012,108
74,"Y",0,"{01F60573-2D14-4992-812E8BEE81EB3381}",0,1012,109
74,"Y",0,"{18AE2997-6077-4206-BB74D545A53A29C1}",0,1012,110
74,"Y",0,"{F84B6A2E-DCDF-48A6-90AB2F28C5CD4675}",0,1012,111
74,"Y",0,"{4B19EDDF-FF05-4C00-A5FCEA52F3AFFDBE}",0,1012,112
74,"Y",0,"{6CC77171-1387-4746-946A3E02DD97127F}",0,1012,113
74,"Y",0,"{E061092C-C79B-4846-9C260F5317443CD7}",0,1012,114
74,"Y",0,"{58FEE83C-23D0-4A4E-AB6C038FD8107FAC}",0,1012,115
74,"Y",0,"{2E86F1CE-903A-499C-9F04D2B46F4C3762}",0,1012,116
74,"Y",0,"{A1A55994-AF46-4F36-BAC69A6CCC207DBC}",0,1012,117
75,"X",0,"{74572FB1-7F1F-425C-92CFBC2E0E8E2569}",0,1012,118
75,"Y",0,"{0998C3D1-9CFD-4F62-B77BD213B6185886}",0,1012,119
75,"Y",0,"{8ED0295A-0357-4A06-BE2390BA76688D53}",0,1012,120
75,"Y",0,"{A636633E-5B72-4371-BFB6DC362416B0EB}",0,1012,121
75,"Y",0,"{DE2338F0-E6E9-4CC8-99F69571F8A9B942}",0,1012,122
75,"Y",0,"{85CB01FB-F04E-4B26-8608452BED3D9A24}",0,1012,123
75,"Y",0,"{D3305BDD-6568-4052-99CFF54D50E74573}",0,1012,124
75,"Y",0,"{CB619A17-7983-4B8D-A983192D2B1186E2}",0,1012,125
75,"Y",0,"{893B2C92-9B81-4EDB-9B879147BE980B54}",0,1012,126
75,"Y",0,"{67CF42BF-8E05-4C80-849C6198A375ABB0}",0,1012,127
75,"Y",0,"{63A7AB35-6682-40C2-9AABE99039886116}",0,1012,128
75,"Y",0,"{4740CBD3-A55F-415B-AD9B40C9E64770A7}",0,1012,129
75,"Y",0,"{5FBC3D93-C6F8-4452-996333F621EC7BE6}",0,1012,130
75,"Y",0,"{2E18A3B1-7B7A-4F0A-B032387FCE9D128A}",0,1012,131
75,"Y",0,"{1F4D2152-E78F-45DE-A68EA05F5BD58837}",0,1012,132
75,"Y",0,"{3F0B550E-D701-493F-848FD2ACE9A15BBF}",0,1012,133
75,"Y",0,"{838F7866-AEC0-404A-86E4D2F8327A29B4}",0,1012,134
75,"Y",0,"{6B36C570-A075-4E69-986D0EE2B12F2EE8}",0,1012,135
75,"Y",0,"{4E17D929-FB81-499D-BB45BC7009F7B663}",0,1012,136
75,"Y",0,"{BC797012-3FC7-4F69-9F364C8F9C38B427}",0,1012,137
75,"Y",0,"{FE319021-073B-4A8F-AB03BA1EF13E8385}",0,1012,138
75,"Y",0,"{DCDAC30C-5CEF-4E3D-89411F46CE7988A9}",0,1012,139
75,"Y",0,"{BBDF6022-DA1D-4C8E-85050285B4FB5412}",0,1012,140
75,"Y",0,"{C33D79FD-DFBB-451D-A09CCAAF6D196AE4}",0,1012,141
75,"Y",0,"{237660CA-DD49-449B-984DAB37C6BDD5AE}",0,1012,142
75,"Y",0,"{EC1013BE-BFB2-47AC-83869FA1E2D7BD0B}",0,1012,143
75,"Y",0,"{08023E9D-E3FC-4C24-928A1CB2375888C2}",0,1012,144
75,"Y",0,"{BB55FC54-D9F3-417A-859946DF5D48FBCA}",0,1012,145
75,"Y",0,"{16E7F28A-0E58-4380-810C45B4ACA73495}",0,1012,146
75,"Y",0,"{0550D6C6-A379-46DB-B70C4A93238BB5E5}",0,1012,147
75,"Y",0,"{EA154A9E-46C0-4C3A-ADDF984A86989ED7}",0,1012,148
75,"Y",0,"{82EB87E9-A94F-44EE-80F41491A7CC3EA6}",0,1012,149
75,"Y",0,"{3AFF7C5A-12E1-43EE-AA781323924739DF}",0,1012,150
75,"Y",0,"{E3BFB5B9-2F40-411D-80836C548EB202CD}",0,1012,151
75,"Y",0,"{57351C7B-1760-43F6-90A865FF520770DA}",0,1012,152
75,"Y",0,"{1C0ED762-5896-4AE9-B507DCD46E71B681}",0,1012,153
75,"Y",0,"{FBFA18C6-ABF4-4C95-9751068191EDFB82}",0,1012,154
75,"Y",0,"{DE03556F-2F9D-43C8-987B1495D1B70EEE}",0,1012,155
75,"Y",0,"{99F43EA1-A630-46EE-A40526E5929EDABD}",0,1012,156
75,"Y",0,"{3E1A3BB6-D83B-440C-AF29CAC98AF96A25}",0,1012,157
75,"Y",0,"{EFB2EAFB-F949-47D8-9BEE83CA3A264840}",0,1012,158
75,"Y",0,"{5236FCC4-5CEE-48C5-B4820E9723D149A2}",0,1012,159
75,"Y",0,"{49A8D9BF-D591-48B0-A5581F2DD71E2825}",0,1012,160
75,"Y",0,"{A45C9B47-9D0D-493A-B2161E24C8EB27FA}",0,1012,161
75,"Y",0,"{34E5F0CE-F014-4EB2-9EBC352C722509A6}",0,1012,162
75,"Y",0,"{73B317C7-F68C-4FC6-929DC413C36640A3}",0,1012,163
75,"Y",0,"{F0BE8AD0-3836-4EDF-9BF15872D5ACE6E5}",0,1012,164
75,"Y",0,"{AAAD3A12-0808-4FF4-A9C4A4780129CBA6}",0,1012,165
75,"Y",0,"{0487CD01-9FCB-4CF4-BF83D14AAF583529}",0,1012,166
75,"Y",0,"{D11BAB02-F9E1-4355-A67C7D55DC128B14}",0,1012,167
75,"Y",0,"{AAAC3FFD-7EAE-4B83-B075F7B11BC023AE}",0,1012,168
